transaction_type,transaction_amount,timestamp,source_account,destination_account,transaction_mode,balance_before,currency,transaction_frequency,average_transaction_value,device_type,region,balance_after,fraud_flag
DEBIT,3039.4,1/1/2023 0:00,Personal,Personal,Mobile,307,GBP,15,1260.09,PC,UK,0,0
CREDIT,2738.02,1/1/2023 0:01,Merchant,Personal,POS,2308.59,USD,29,868.75,Mobile,Kenya,0,0
PAYMENT,1167.42,1/1/2023 0:02,Business,Personal,Mobile,659.51,KES,29,1245.9,Mobile,Germany,0,0
CREDIT,1960.62,1/1/2023 0:03,Merchant,Personal,Mobile,1123.61,EUR,10,1535.27,Tablet,Germany,0,0
CREDIT,2976.44,1/1/2023 0:04,Merchant,Business,POS,4371.93,GBP,32,1114.12,Mobile,USA,1395.49,0
CASH_OUT,2488.87,1/1/2023 0:05,Personal,Business,Online,2376.19,EUR,23,1273.88,PC,India,0,0
PAYMENT,4939.05,1/1/2023 0:06,Merchant,Business,POS,5207.86,INR,39,1873.74,Tablet,Germany,268.81,0
PAYMENT,690.83,1/1/2023 0:07,Business,Merchant,Bank Transfer,2609.59,KES,9,633.18,Tablet,Germany,1918.76,0
PAYMENT,3478.77,1/1/2023 0:08,Merchant,Personal,ATM,9411.32,USD,37,750.37,Tablet,Canada,5932.55,0
CREDIT,2027.55,1/1/2023 0:09,Merchant,Personal,POS,9068.85,GBP,40,1449.52,PC,Kenya,7041.3,0
DEBIT,2146.72,1/1/2023 0:10,Merchant,Business,Mobile,5711.38,EUR,14,1242.05,Mobile,Germany,3564.66,0
PAYMENT,3590.81,1/1/2023 0:11,Personal,Merchant,Mobile,3608.8,KES,4,398.14,Tablet,Australia,17.99,0
CREDIT,3465.26,1/1/2023 0:12,Business,Personal,POS,3873.35,EUR,20,783.49,PC,Kenya,408.09,0
CASH_OUT,4956.37,1/1/2023 0:13,Personal,Business,ATM,4177.34,KES,28,962.28,Mobile,India,0,0
DEBIT,650.69,1/1/2023 0:14,Personal,Personal,POS,7303.04,INR,14,867.81,Mobile,Australia,6652.35,0
CASH_OUT,529.51,1/1/2023 0:15,Personal,Personal,ATM,4571.23,EUR,44,397.64,Tablet,Canada,4041.72,0
DEBIT,3624.45,1/1/2023 0:16,Personal,Business,ATM,8581.63,INR,34,1852.64,PC,Australia,4957.18,0
CREDIT,2896.15,1/1/2023 0:17,Personal,Business,Bank Transfer,9446.54,GBP,13,1536.52,Mobile,USA,6550.39,0
TRANSFER,1378.06,1/1/2023 0:18,Business,Personal,Mobile,3425.87,INR,31,988.64,PC,USA,2047.81,0
DEBIT,406.3,1/1/2023 0:19,Merchant,Personal,Mobile,5650.88,KES,33,1376.12,Mobile,India,5244.58,0
CASH_OUT,437.43,1/1/2023 0:20,Personal,Business,ATM,1041.06,GBP,39,1799.7,Tablet,India,603.63,0
CREDIT,4472.01,1/1/2023 0:21,Personal,Personal,Mobile,2084.64,EUR,28,315.54,Tablet,Australia,0,0
DEBIT,967.42,1/1/2023 0:22,Business,Personal,Online,4193.31,EUR,25,538.23,Mobile,Canada,3225.89,0
TRANSFER,1623.62,1/1/2023 0:23,Business,Business,ATM,2141.41,KES,32,1108.27,PC,Canada,517.79,0
TRANSFER,1141.02,1/1/2023 0:24,Merchant,Personal,Mobile,8777.95,USD,9,1608.07,Mobile,UK,7636.93,0
PAYMENT,1781.43,1/1/2023 0:25,Business,Personal,Online,1667.03,USD,28,120.7,PC,Germany,0,0
PAYMENT,356.42,1/1/2023 0:26,Merchant,Merchant,Bank Transfer,4611.04,EUR,31,1968.84,Mobile,Germany,4254.62,0
CASH_OUT,2600.11,1/1/2023 0:27,Personal,Business,Mobile,6096.42,KES,17,937.07,Tablet,Germany,3496.31,0
DEBIT,347.39,1/1/2023 0:28,Personal,Merchant,Online,6949.45,USD,23,750.5,PC,Kenya,6602.06,0
DEBIT,4003.78,1/1/2023 0:29,Merchant,Merchant,POS,3892.39,INR,13,620.81,Tablet,UK,0,0
PAYMENT,1176.22,1/1/2023 0:30,Business,Merchant,POS,8704.08,EUR,10,390,PC,Australia,7527.86,0
DEBIT,2704.66,1/1/2023 0:31,Merchant,Personal,Online,5726.36,INR,16,1593.57,Mobile,Germany,3021.7,0
DEBIT,4401.59,1/1/2023 0:32,Business,Personal,ATM,4451.13,KES,6,1913.06,Tablet,Kenya,49.54,0
TRANSFER,3257.88,1/1/2023 0:33,Personal,Merchant,ATM,765.68,INR,48,856.61,Tablet,Kenya,0,0
PAYMENT,2669.46,1/1/2023 0:34,Business,Merchant,Mobile,4700.43,USD,11,1907.22,PC,USA,2030.97,0
CREDIT,1628.43,1/1/2023 0:35,Merchant,Merchant,POS,8225.28,USD,3,1656.41,PC,Kenya,6596.85,0
PAYMENT,1671.68,1/1/2023 0:36,Merchant,Personal,ATM,6183.96,GBP,28,988.05,PC,India,4512.28,0
CREDIT,3350.74,1/1/2023 0:37,Personal,Merchant,ATM,8338.41,EUR,41,1364.35,Tablet,Canada,4987.67,0
TRANSFER,4970.76,1/1/2023 0:38,Business,Merchant,POS,4990.72,KES,15,898.22,Mobile,Kenya,19.96,0
CASH_OUT,3312.58,1/1/2023 0:39,Business,Business,Bank Transfer,1272.77,EUR,13,1139.51,PC,India,0,1
DEBIT,2793.34,1/1/2023 0:40,Business,Business,ATM,235.03,INR,42,163.19,Mobile,India,0,0
TRANSFER,3655.95,1/1/2023 0:41,Personal,Personal,Online,3101.87,KES,45,1407.71,PC,USA,0,0
DEBIT,2331.38,1/1/2023 0:42,Business,Business,Mobile,7010.11,KES,17,153.01,Mobile,Australia,4678.73,0
CASH_OUT,310.11,1/1/2023 0:43,Merchant,Business,ATM,7923.57,USD,7,1643.32,PC,USA,7613.46,0
CASH_OUT,2815.86,1/1/2023 0:44,Business,Business,ATM,3027.95,INR,28,1658.65,Mobile,Kenya,212.09,0
TRANSFER,4788.55,1/1/2023 0:45,Personal,Personal,Bank Transfer,5006.97,USD,38,512.3,Tablet,USA,218.42,0
CASH_OUT,884.76,1/1/2023 0:46,Business,Business,Online,4269.08,USD,13,681.14,PC,USA,3384.32,0
CREDIT,3453.12,1/1/2023 0:47,Business,Personal,Mobile,4164.18,GBP,17,988.56,PC,Australia,711.06,0
CASH_OUT,1012.66,1/1/2023 0:48,Merchant,Merchant,ATM,2390.35,USD,15,1213.49,Tablet,Canada,1377.69,1
DEBIT,2683.78,1/1/2023 0:49,Business,Business,Mobile,1450.07,EUR,36,610.34,PC,Germany,0,0
DEBIT,492.42,1/1/2023 0:50,Merchant,Personal,POS,2047.22,KES,28,1205.35,PC,Kenya,1554.8,0
DEBIT,2257.35,1/1/2023 0:51,Merchant,Business,ATM,647.79,USD,15,630.68,Tablet,Australia,0,0
DEBIT,3783.26,1/1/2023 0:52,Personal,Merchant,ATM,2061.49,EUR,46,158.21,Tablet,Kenya,0,0
CREDIT,1744.38,1/1/2023 0:53,Merchant,Personal,POS,191.09,INR,11,54.93,Mobile,Kenya,0,0
PAYMENT,3327.91,1/1/2023 0:54,Merchant,Personal,Bank Transfer,6309.86,KES,31,247.24,Tablet,USA,2981.95,0
TRANSFER,3979.3,1/1/2023 0:55,Personal,Personal,ATM,3232.12,INR,4,1594.89,Tablet,Canada,0,0
